method,retro_status,SMILES,JNK3,GSK3b,QED,SA,SA_norm,TPSA,TPSA_norm,LogP,LogP_norm,six_dim_mean,six_dim_min,six_dim_std,display_score,pass_6d_threshold,alert_count,alert_labels
GB-GA crossover,unsolved,CNC1=CC(c2ccnc(Nc3ccc(O)cc3)n2)=CC1N1CCOCC1,0.5699999928474426,0.7200000286102295,0.700311005115509,3.455458402633667,0.7271712885962592,82.54,0.75408446938344,2.1269,0.8441704901637869,0.7192895457861112,0.5699999928474426,0.08115429671823296,0.8821741139685206,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,C1=CC2CC=C(c3ccnc(Nc4ccnc(Nc5ccccc5)c4)n3)N2C=C1,0.6700000166893005,0.8799999952316284,0.6590939164161682,3.4489259719848633,0.7278971142239041,65.97,0.9803942424494534,4.8575000000000035,0.46452740561448286,0.7303187817708229,0.46452740561448286,0.16548134672084439,0.8531288687830832,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,O=C1C=CCC(Nc2nccc(-c3ccc(-n4cnc(F)n4)cc3)n2)C1,0.5799999833106995,0.5799999833106995,0.7782747149467468,3.4419913291931152,0.7286676300896539,85.59,0.6950270592518059,2.5630000000000006,0.9584503135496963,0.7200699474098836,0.5799999833106995,0.12919832945593437,0.8811501094575,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,COC1=NC(C)=C(c2ccnc(Nc3ccccc3)n2)SC1Cl,0.5099999904632568,0.8299999833106995,0.8410578370094299,3.4182679653167725,0.7313035594092475,59.400000000000006,0.9998000199986667,4.2653000000000025,0.7006307752290781,0.7687986942367298,0.5099999904632568,0.15019882012115818,0.906778809363591,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,Cc1ncn(-c2ccc(Nc3nccc(C4=CCC(C)S4)n3)cc2)n1,0.8399999737739563,0.7799999713897705,0.767581045627594,3.4101011753082275,0.7322109805213081,68.52000000000001,0.9604743518934165,3.975620000000003,0.8093541038303254,0.8149367378393951,0.7322109805213081,0.07319747133746432,1.027280284862041,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,CC1=C(c2ccnc(Nc3ccc(N4CC=C(F)C4)cc3)n2)SCC=N1,0.5199999809265137,0.7900000214576721,0.8679928183555603,3.405616283416748,0.7327093018425835,53.410000000000004,0.9761620005017665,4.399700000000003,0.6470259294278129,0.7556483420853182,0.5199999809265137,0.1473560150270808,0.8969127348605642,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,CC1=CC(c2[nH]ncc2-c2ccnc(NC3CCCC3)n2)CC1,0.7300000190734863,0.699999988079071,0.8363306522369385,3.4013288021087646,0.7331856886545817,66.49000000000001,0.9768716026796972,4.044900000000003,0.7845650587792197,0.7934921682504991,0.699999988079071,0.0930517402729227,0.9941869906469281,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,O=C1C=CCC(NC2=C(c3ccnc(Nc4ccccc4)n3)CC(c3ccccc3)=N2)C1,0.5699999928474426,0.7400000095367432,0.6052241325378418,3.4004642963409424,0.7332817448510064,79.27,0.8135921721416567,4.659100000000003,0.5424324401785954,0.6674217486822144,0.5424324401785954,0.0999606630484541,0.8201554144309476,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,C1=CCC(C2=CC=C(c3ccnc(NC4CCN(NC5CCCC5)CC4)n3)C2)=C1,0.5299999713897705,0.6100000143051147,0.7552213668823242,3.3917078971862793,0.7342546780904134,53.080000000000005,0.9737472016818017,4.399900000000003,0.6469454271565857,0.7083614432510017,0.5299999713897705,0.14056767362659903,0.8533046673052729,True,0,Retro* unsolved; no predefined alert matched
GB-GA crossover,unsolved,NC1CCC(Nc2nccc(C3=NC=CC3Oc3ccccc3)n2)CC1,0.5600000023841858,0.6700000166893005,0.8667569160461426,3.3905718326568604,0.7343809074825711,85.42,0.6983835078753172,2.9224000000000014,0.9986627260598567,0.7546973460895624,0.5600000023841858,0.14185741265349372,0.9085116055394687,True,0,Retro* unsolved; no predefined alert matched
