model,generation,population_size,unique_smiles,hv_evaluation_size,hypervolume,hypervolume_full_population,nondominated_count,feasible_count,feasible_rate,drd2_mean,drd2_median,drd2_max,qed_mean,qed_median,qed_max,sa_raw_mean,sa_raw_median,sa_raw_min,sa_norm_mean,sa_norm_median,sa_norm_max
ChemistGA,0,100,82,100,0.8409171316896066,0.8409171316896066,20,57,56.99999999999999,0.8958000034093857,0.9300000071525574,1.0,0.6121598537266254,0.6612670421600342,0.9370995163917542,2.6323068487644194,2.4894171953201294,1.712999701499939,0.8186325723595089,0.8345092005199857,0.9207778109444512
ChemistGA,5,296,95,100,0.8269524098284325,0.8269524098284325,141,277,93.58108108108108,0.9048310933584296,0.9700000286102296,0.9900000095367432,0.8074400798493141,0.859851062297821,0.9148616790771484,2.7757649848590025,2.881253242492676,1.7141876220703125,0.8026927794601109,0.7909718619452583,0.9206458197699652
ChemistGA,10,297,36,100,0.7752466513129151,0.7752466513129151,115,297,100.0,0.9296969791454096,0.9300000071525574,1.0,0.8587266610126303,0.8726476430892944,0.9007495045661926,2.8206465509202747,2.881253242492676,2.139798402786255,0.7977059387866362,0.7909718619452583,0.8733557330237495
ChemistGA,15,296,51,100,0.7563149820303984,0.7563149820303984,112,292,98.64864864864865,0.9092567618369956,0.9300000071525574,1.0,0.8628717660903931,0.8700742721557617,0.913225531578064,2.797200937528868,2.768977642059326,2.391129732131958,0.8003110069412369,0.8034469286600748,0.8454300297631158
ChemistGA,20,298,44,100,0.7522360529256529,0.7522360529256529,166,298,100.0,0.9320134306514024,0.9399999976158142,1.0,0.8634585122134062,0.8726476430892944,0.909009337425232,2.8093722138628863,2.77713143825531,2.475025653839112,0.7989586429041238,0.8025409513049655,0.8361082606845431
ChemistGA,25,300,52,100,0.7522973719017907,0.7522973719017907,116,299,99.66666666666669,0.9297000042597452,0.9399999976158142,1.0,0.8607409099737803,0.8702179789543152,0.909009337425232,2.8235714666048684,2.795341968536377,2.475025653839112,0.7973809481550146,0.8005175590515137,0.8361082606845431
ChemistGA,30,294,52,100,0.7536769694899866,0.7536769694899866,94,294,100.0,0.940646261990476,0.959999978542328,1.0,0.8553851088699029,0.8454432487487793,0.909009337425232,2.850753845811701,2.873102903366089,2.4569013118743896,0.7943606837986998,0.7918774551815457,0.8381220764584012
ChemistGA,35,297,54,100,0.7521255785711268,0.7521255785711268,126,295,99.32659932659934,0.9453535397044738,0.9700000286102296,1.0,0.8534919483091695,0.8454432487487793,0.9286969304084778,2.8525010214911566,2.848849296569824,2.4569013118743896,0.7941665531676492,0.7945723003811307,0.8381220764584012
ChemistGA,40,299,40,100,0.7215746661466199,0.7215746661466199,89,298,99.66555183946488,0.9586956578752268,0.9700000286102296,1.0,0.8565462799773966,0.8454432487487793,0.8909931182861328,2.8860931587857146,2.905025243759156,2.634833335876465,0.790434093468254,0.788330528471205,0.8183518515692817
ChemistGA,45,297,33,100,0.7494400128030027,0.7494400128030027,94,297,100.0,0.9578114529250046,0.9700000286102296,1.0,0.857049149495584,0.8454432487487793,0.909009337425232,2.8712352012544367,2.873102903366089,2.4569013118743896,0.7920849776383959,0.7918774551815457,0.8381220764584012
ChemistGA,50,297,39,100,0.7296267858602237,0.7296267858602237,102,297,100.0,0.9575084203020089,0.9700000286102295,1.0,0.8563920664867568,0.8454432487487793,0.878140926361084,2.8754134394905786,2.873102903366089,2.4569013118743896,0.7916207289454913,0.7918774551815457,0.8381220764584012
