model,generation,smiles,drd2,qed,sa_raw,sa_norm,feasible,nondominated
PT-MOGA,45,O=C(O)c1ccccc1,0.0,0.6106035113334656,1.0549172163009644,0.9938980870776706,0,1
PT-MOGA,45,COc1cccc2c1-c1cccc3c1CC(C2)N(CCN)CC3,0.28999999165534973,0.9471821784973145,3.6871824264526367,0.7014241748385959,0,1
PT-MOGA,45,COc1cccc2c1-c1cccc3c1CC2CN(CCN)CC3,0.2800000011920929,0.9473978877067566,3.5225331783294678,0.7197185357411703,0,1
PT-MOGA,45,O=C(O)c1ccccc1,0.0,0.6106035113334656,1.0549172163009644,0.9938980870776706,0,1
PT-MOGA,45,COc1cc(Cl)c(C)cc1,0.029999999329447746,0.6076489686965942,1.36642324924469,0.9592863056394789,0,1
PT-MOGA,45,CCCNC1CCc2c(OC)cccc2C1,1.0,0.8399972915649414,2.500850200653076,0.8332388665941026,1,1
PT-MOGA,45,COc1ccccc1N1CCN(CCCCNC(=O)c2ccccc2)CC1,1.0,0.7287012934684753,1.7754192352294922,0.9138423071967231,1,1
PT-MOGA,45,CCCN(CCC#N)C1CCc2c(O)cccc2C1,0.9900000095367432,0.8830645084381104,2.9919674396514893,0.7786702844831679,1,1
PT-MOGA,45,CCCN1CCN(c2ccccc2)CC1,0.7900000214576721,0.7446258068084717,1.4843201637268066,0.9461866484747993,1,1
PT-MOGA,45,CCCN1CCN(c2ccccc2OC)CC1,0.8500000238418579,0.7942761778831482,1.6109092235565186,0.932121197382609,1,1
PT-MOGA,45,O=C(NCC=CCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccccc1,0.9900000095367432,0.7368004322052002,2.215508222579956,0.8649435308244493,1,1
PT-MOGA,45,CCCCN1CCN(c2cccc(Cl)c2Cl)CC1,0.9800000190734863,0.8279516100883484,1.8209701776504517,0.908781091372172,1,1
PT-MOGA,45,COc1ccc(N2CCN(CCC)CC2)cc1,0.7799999713897705,0.7942761778831482,1.5638973712921143,0.9373447365230985,1,1
PT-MOGA,45,Clc1cccc(N2CCCN(CCCN)CC2)c1Cl,0.8799999952316284,0.9280524253845215,2.0047924518585205,0.8883563942379422,1,1
PT-MOGA,45,Clc1cccc(N2CCN(CC=CCNC(=O)c3ccccc3)CC2)c1Cl,0.9900000095367432,0.7368004322052002,2.215508222579956,0.8649435308244493,1,1
PT-MOGA,45,Cc1ccc(N2CCN(CCc3cccc(O)c3)CC2)cc1,0.4300000071525574,0.9391083121299744,1.7738051414489746,0.9140216509501139,0,1
PT-MOGA,45,COc1cccc2c1-c1cccc3c1C(C2)N(CCN)CC3,0.8299999833106995,0.9457765221595764,2.879395008087158,0.7911783324347602,1,1
PT-MOGA,45,COc1cccc2c1-c1cccc3c1C2CN(CCCN)CC3,0.3199999928474426,0.9433916211128235,2.8681695461273193,0.7924256059858534,0,1
PT-MOGA,45,CCCN(CCC#N)C1CCc2c(O)cccc2C1,0.9900000095367432,0.8830645084381104,2.9919674396514893,0.7786702844831679,1,1
PT-MOGA,45,O=C(NCc1ccccc1)c1ccccc1,0.0,0.830344557762146,1.1418575048446655,0.9842380550172594,0,1
PT-MOGA,45,Clc1ccc(N2CCN(CCc3ccccc3)CC2)cc1,0.6700000166893005,0.8492392897605896,1.5621592998504639,0.9375378555721707,1,1
PT-MOGA,45,COc1cccc2c1-c1cccc3c1CC2CN(CCN)CC3,0.2800000011920929,0.9473978877067566,3.5225331783294678,0.7197185357411703,0,1
PT-MOGA,45,c1ccc(N2CCN(CCc3ccc(O)cc3)CC2)cc1,0.6000000238418579,0.933858335018158,1.6472326517105103,0.9280852609210544,1,1
PT-MOGA,45,Nc1ccccc1N1CCN(Cc2ccccc2)CC1,0.20000000298023224,0.867638885974884,1.6263922452926636,0.9304008616341485,0,1
PT-MOGA,45,COc1ccc(CNC(=O)c2ccccc2)cc1,0.0,0.8932000398635864,1.2627098560333252,0.9708100159962972,0,1
PT-MOGA,45,COc1ccc(C)c(Cl)c1,0.029999999329447746,0.6076489686965942,1.36642324924469,0.9592863056394789,0,1
PT-MOGA,45,Cc1ccc(N2CCN(CCc3ccccc3)CC2)cc1,0.3799999952316284,0.8471063375473022,1.5464036464691162,0.9392884837256538,0,1
PT-MOGA,45,COc1cccc2c1N1CCN(Cc3ccccc3)CC1CN2,0.12999999523162842,0.9434083700180054,2.7419729232788086,0.8064474529690213,0,1
PT-MOGA,45,Cc1ccc(CNC(=O)c2ccccc2)cc1,0.0,0.8545735478401184,1.2380380630493164,0.9735513263278537,0,1
PT-MOGA,45,COc1ccc(CNC(=O)c2ccccc2)cc1,0.0,0.8932000398635864,1.2627098560333252,0.9708100159962972,0,1
PT-MOGA,45,Oc1ccc(N2CCN(CCc3ccccc3)CC2)cc1,0.5,0.933858335018158,1.6417567729949951,0.928693691889445,1,1
PT-MOGA,45,Oc1cccc(CCN2CCN(c3ccc(Cl)cc3)CC2)c1,0.7099999785423279,0.936120867729187,1.789068341255188,0.9123257398605347,1,1
PT-MOGA,45,Oc1ccc(CCN2CCN(c3ccc(F)cc3)CC2)cc1,0.36000001430511475,0.9403245449066162,1.732991337776184,0.9185565180248685,0,1
PT-MOGA,45,NCc1ccc(CN2CCN(c3cccc(Cl)c3Cl)CC2)cc1,0.8799999952316284,0.9110603928565979,1.8976272344589233,0.9002636406156752,1,1
PT-MOGA,45,CCCN(CCC)C1CCc2c(O)cccc2C1,1.0,0.8620217442512512,2.7878940105438232,0.8013451099395752,1,1
PT-MOGA,45,c1ccc(CCN2CCN(c3ccccc3)CC2)cc1,0.7599999904632568,0.8389806151390076,1.4760380983352661,0.9471068779627482,1,1
PT-MOGA,45,CCCNC1CCc2c(cccc2OC)C1,1.0,0.8399972915649414,2.500850200653076,0.8332388665941026,1,1
PT-MOGA,45,CCCN(CCc1ccccc1)C1CCc2c(O)cccc2C1,0.9800000190734863,0.8640376329421997,2.634603500366211,0.8183773888481988,1,1
PT-MOGA,45,COc1ccccc1N1CCN(CCNC(=O)c2ccccc2)CC1,0.8999999761581421,0.8767122626304626,1.699845314025879,0.9222394095526801,1,1
