model,generation,smiles,drd2,qed,sa_raw,sa_norm,feasible,nondominated
PT-MOGA,10,c1ccc(-c2ccccc2)cc1,0.0,0.5905019044876099,1.0,1.0,0,1
PT-MOGA,10,O=C(NCCCCCN1CC1)c1ccccc1,0.4399999976158142,0.574998676776886,1.470899224281311,0.9476778639687432,0,1
PT-MOGA,10,CCCN1CCc2cccc3c2C1Cc1cccc(OC(N)=O)c1-3,0.9700000286102295,0.9376839399337769,2.991816759109497,0.7786870267656114,1,1
PT-MOGA,10,c1ccc(-c2ccccc2)cc1,0.0,0.5905019044876099,1.0,1.0,0,1
PT-MOGA,10,COc1ccccc1N1CCN(CCCCNC(=O)c2ccccc2)CC1,1.0,0.7287012934684753,1.7754192352294922,0.9138423071967231,1,1
PT-MOGA,10,NCCOc1cccc2c1C1Cc3ccccc3CCN1CC2,0.46000000834465027,0.9473330974578857,2.7984814643859863,0.8001687261793349,0,1
PT-MOGA,10,Cc1ccc(NC(=O)c2ccccc2)cc1,0.0,0.8112788200378418,1.1397528648376465,0.9844719039069282,0,1
PT-MOGA,10,c1ccc(Cc2ccccc2)cc1,0.0,0.6452001929283142,1.0284255743026733,0.9968416028552585,0,1
PT-MOGA,10,CCCN1CCN(c2ccccc2)CC1,0.7900000214576721,0.7446258068084717,1.4843201637268066,0.9461866484747993,1,1
PT-MOGA,10,O=C(c1ccccc1)Nc1ccccc1,0.0,0.7874913811683655,1.0574495792388916,0.9936167134179009,0,1
PT-MOGA,10,Oc1ccc(-c2ccccc2)cc1,0.009999999776482582,0.6969385147094727,1.2253559827804565,0.974960446357727,0,1
PT-MOGA,10,c1ccc(Cc2ccccc2)cc1,0.0,0.6452001929283142,1.0284255743026733,0.9968416028552585,0,1
PT-MOGA,10,c1ccc(-c2ccc(O)cc2)cc1,0.009999999776482582,0.6969385147094727,1.2253559827804565,0.974960446357727,0,1
PT-MOGA,10,Cc1ccc(CN2CCN(c3ccc(O)cc3)CC2)cc1,0.05999999865889549,0.9371607899665833,1.6342741250991821,0.929525097211202,0,1
PT-MOGA,10,c1cc2c(c(CN3CCN(c4cccc(O)c4)CC3)c1)COC2,0.4099999964237213,0.9454888701438904,2.316990852355957,0.8536676830715604,0,1
PT-MOGA,10,CN(Cc1ccc(C#N)cc1)C1CCc2c(O)cccc2C1,0.550000011920929,0.9443078637123108,2.7406814098358154,0.8065909544626871,1,1
PT-MOGA,10,OCCOc1cccc2c1CC1c3ccccc3CCN1CC2,0.27000001072883606,0.9461426734924316,2.6846823692321777,0.8128130700853136,0,1
PT-MOGA,10,CCCN1CCN(c2ccccc2)CC1,0.7900000214576721,0.7446258068084717,1.4843201637268066,0.9461866484747993,1,1
PT-MOGA,10,COc1ccccc1N1CCN(CCCCNC(=O)c2ccccc2)CC1,1.0,0.7287012934684753,1.7754192352294922,0.9138423071967231,1,1
PT-MOGA,10,COc1ccc(CNC(=O)c2ccccc2)cc1,0.0,0.8932000398635864,1.2627098560333252,0.9708100159962972,0,1
PT-MOGA,10,N#Cc1ccccc1N1CCN(CNC(=O)c2ccccc2)CC1,0.7099999785423279,0.9367456436157227,2.023097038269043,0.8863225513034396,1,1
PT-MOGA,10,COc1ccc(N2CCN(Cc3ccccc3)CC2)cc1,0.10000000149011612,0.8570875525474548,1.4795981645584106,0.9467113150490655,0,1
PT-MOGA,10,Clc1cccc(N2CCN(CCCS)CC2)c1Cl,0.9700000286102295,0.8514928817749023,2.166135787963867,0.8704293568929037,1,1
PT-MOGA,10,Fc1cc(N2CCN(Cc3ccccc3)CC2)ccc1,0.23000000417232513,0.8451075553894043,1.5506396293640137,0.9388178189595541,0,1
