model,generation,smiles,drd2,qed,sa_raw,sa_norm,feasible,nondominated
PT-MOGA,30,c1ccc(COc2ccccc2)cc1,0.0,0.710982620716095,1.0865509510040283,0.9903832276662191,0,1
PT-MOGA,30,CCCN(CCC#N)C1CCc2c(O)cccc2C1,0.9900000095367432,0.8830645084381104,2.9919674396514893,0.7786702844831679,1,1
PT-MOGA,30,Cc1ccccc1,0.0,0.45880627632141113,1.0,1.0,0,1
PT-MOGA,30,Cc1cccc(C(=O)N2CCN(Cc3ccc(O)cc3)CC2)c1,0.0,0.9476718306541443,1.7106096744537354,0.9210433695051405,0,1
PT-MOGA,30,CCCNC1CCc2c(OC)cccc2C1,1.0,0.8399972915649414,2.500850200653076,0.8332388665941026,1,1
PT-MOGA,30,Cc1ccc(Cl)cc1,0.0,0.5015016794204712,1.033862829208374,0.9962374634212918,0,1
PT-MOGA,30,O=C(O)c1ccccc1,0.0,0.6106035113334656,1.0549172163009644,0.9938980870776706,0,1
PT-MOGA,30,c1ccc(CCN2CCCC2)cc1,0.05999999865889549,0.6811919808387756,1.3635995388031006,0.9596000512441,0,1
PT-MOGA,30,O=C(O)c1ccccc1,0.0,0.6106035113334656,1.0549172163009644,0.9938980870776706,0,1
PT-MOGA,30,c1cc(CCN2CCCC2)ccc1,0.05999999865889549,0.6811919808387756,1.3635995388031006,0.9596000512441,0,1
PT-MOGA,30,O=C(NCC=CCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccccc1,0.9900000095367432,0.7368004322052002,2.215508222579956,0.8649435308244493,1,1
PT-MOGA,30,O=C(NCC=CCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccccc1,0.9900000095367432,0.7368004322052002,2.215508222579956,0.8649435308244493,1,1
PT-MOGA,30,NC(=O)CCCN1CCN(c2cccc(Cl)c2Cl)CC1,0.9700000286102295,0.9072478413581848,1.9828498363494873,0.8907944626278348,1,1
PT-MOGA,30,Clc1cccc(N2CCN(CC=CCNC(=O)c3ccco3)CC2)c1Cl,0.9800000190734863,0.7596564292907715,2.4417881965637207,0.8398013114929199,1,1
PT-MOGA,30,CCCN(CCC#N)C1CCc2c(O)cccc2C1,0.9900000095367432,0.8830645084381104,2.9919674396514893,0.7786702844831679,1,1
PT-MOGA,30,Cc1ccc(Cl)cc1,0.0,0.5015016794204712,1.033862829208374,0.9962374634212918,0,1
PT-MOGA,30,Fc1ccc(N2CCN(CCc3ccccc3)CC2)cc1,0.5099999904632568,0.8505276441574097,1.5679254531860352,0.9368971718682183,1,1
PT-MOGA,30,Fc1ccc(CCN2CCN(c3ccccc3)CC2)cc1,0.5899999737739563,0.8505276441574097,1.5734014511108398,0.9362887276543511,1,1
PT-MOGA,30,c1ccc(N2CCN(Cc3ccccc3)CC2)cc1,0.12999999523162842,0.8282747864723206,1.385939598083496,0.9571178224351671,0,1
PT-MOGA,30,CCCN(CCc1ccccc1)C1CCc2c(cccc2O)C1,0.9800000190734863,0.8640376329421997,2.634603500366211,0.8183773888481988,1,1
PT-MOGA,30,Oc1ccc(C(=O)NCC=CCN2CCN(c3cccc(Cl)c3Cl)CC2)cc1,1.0,0.698434591293335,2.33099627494812,0.8521115250057645,1,1
PT-MOGA,30,CCCN(CCC)C1CCc2c(cccc2O)C1,1.0,0.8620217442512512,2.7878940105438232,0.8013451099395752,1,1
PT-MOGA,30,Oc1cccc(N2CCCN(Cc3ccccc3)CC2)c1,0.6299999952316284,0.9368128776550293,1.7022689580917358,0.9219701157675849,1,1
PT-MOGA,30,COc1ccccc1N1CCN(Cc2ccccc2)CC1,0.07999999821186066,0.8570875525474548,1.51675283908844,0.9425830178790622,0,1
PT-MOGA,30,Nc1ccccc1OCc1ccccc1,0.009999999776482582,0.7712967395782471,1.3845901489257812,0.9572677612304688,0,1
PT-MOGA,30,COc1cccc2c1-c1cccc3c1C(C2)N(CCN)CC3,0.8299999833106995,0.9457765221595764,2.879395008087158,0.7911783324347602,1,1
PT-MOGA,30,COc1cccc2c1CCC(NCc1ccc(C#N)cc1)C2,0.8500000238418579,0.9408188462257385,2.548506498336792,0.8279437224070231,1,1
