model,generation,smiles,drd2,qed,sa_raw,sa_norm,feasible,nondominated
PT-MOGA,25,N#Cc1ccc(CN(C)C2CCc3c(F)cccc3C2N)cc1,0.1599999964237213,0.9473817944526672,3.2525036334991455,0.7497218185000949,0,1
PT-MOGA,25,O=C(c1ccccc1)N1CCN(Cc2ccccc2)CC1,0.0,0.8626890182495117,1.431286334991455,0.9520792961120605,0,1
PT-MOGA,25,Cc1ccc(C)cc1,0.0,0.4757576882839203,1.0,1.0,0,1
PT-MOGA,25,NC1c2cccc(F)c2CCC1N(C)Cc1ccc(C#N)cc1,0.1599999964237213,0.9473817944526672,3.2525036334991455,0.7497218185000949,0,1
PT-MOGA,25,Cc1ccc(C)cc1,0.0,0.4757576882839203,1.0,1.0,0,1
PT-MOGA,25,CCCNC1CCc2c(cccc2OC)C1,1.0,0.8399972915649414,2.500850200653076,0.8332388665941026,1,1
PT-MOGA,25,O=C(NCCCCCN1CC1)c1ccccc1,0.4399999976158142,0.574998676776886,1.470899224281311,0.9476778639687432,0,1
PT-MOGA,25,c1ccc(Cc2ccccc2)cc1,0.0,0.6452001929283142,1.0284255743026733,0.9968416028552585,0,1
PT-MOGA,25,Cc1ccc(Cc2ccccc2)cc1,0.0,0.6655166149139404,1.1912659406661987,0.9787482288148668,0,1
PT-MOGA,25,O=C(NCCCCN1CC1)c1ccccc1,0.4000000059604645,0.5796000361442566,1.4313015937805176,0.9520776006910536,0,1
PT-MOGA,25,COc1ccccc1N1CCN(CCCCNC(=O)c2ccccc2)CC1,1.0,0.7287012934684753,1.7754192352294922,0.9138423071967231,1,1
PT-MOGA,25,CCCN(CCC#N)C1CCc2c(cccc2O)C1,0.9900000095367432,0.8830645084381104,2.9919674396514893,0.7786702844831679,1,1
PT-MOGA,25,O=C(NCC=CCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccccc1,0.9900000095367432,0.7368004322052002,2.215508222579956,0.8649435308244493,1,1
PT-MOGA,25,Nc1ccccc1OCc1ccccc1,0.009999999776482582,0.7712967395782471,1.3845901489257812,0.9572677612304688,0,1
PT-MOGA,25,SCCCN1CCN(c2cccc(Cl)c2Cl)CC1,0.9700000286102295,0.8514928817749023,2.166135787963867,0.8704293568929037,1,1
PT-MOGA,25,O=C(c1ccccc1)c1ccccc1,0.0,0.6524732708930969,1.1539286375045776,0.9828968180550469,0,1
PT-MOGA,25,NCCc1cccc(CCN2CCN(c3ccccc3)CC2)c1,0.800000011920929,0.8899287581443787,1.8099346160888672,0.9100072648790147,1,1
