model,generation,smiles,drd2,qed,sa_raw,sa_norm,feasible,nondominated
PT-MOGA,15,Cc1ccc(C(=O)NCc2ccc(OC)cc2)cc1,0.0,0.9118351340293884,1.332713007926941,0.9630318880081177,0,1
PT-MOGA,15,O=C(NCCCCCN1CC1)c1ccccc1,0.4399999976158142,0.574998676776886,1.470899224281311,0.9476778639687432,0,1
PT-MOGA,15,Cc1cccc(N2CCN(Cc3ccc(C#N)cc3)CC2)c1O,0.20000000298023224,0.94707852602005,1.9983432292938232,0.8890729745229086,0,1
PT-MOGA,15,c1ccc(-c2ccccc2)cc1,0.0,0.5905019044876099,1.0,1.0,0,1
PT-MOGA,15,COc1cccc2c1-c1c(F)ccc3c1C(C2)N(CCN)CC3,0.6600000262260437,0.946893572807312,3.052708625793457,0.771921263800727,1,1
PT-MOGA,15,COc1ccccc1N1CCN(CCCCNC(=O)c2ccccc2)CC1,1.0,0.7287012934684753,1.7754192352294922,0.9138423071967231,1,1
PT-MOGA,15,Oc1ccc(-c2ccccc2)cc1,0.009999999776482582,0.6969385147094727,1.2253559827804565,0.974960446357727,0,1
PT-MOGA,15,O=C(O)c1ccccc1,0.0,0.6106035113334656,1.0549172163009644,0.9938980870776706,0,1
PT-MOGA,15,CCCN1CCN(c2ccccc2)CC1,0.7900000214576721,0.7446258068084717,1.4843201637268066,0.9461866484747993,1,1
PT-MOGA,15,Clc1cccc(N2CCN(CCCS)CC2)c1Cl,0.9700000286102295,0.8514928817749023,2.166135787963867,0.8704293568929037,1,1
PT-MOGA,15,Cc1cccc(N2CCN(Cc3ccc(C#N)cc3)CC2)c1O,0.20000000298023224,0.94707852602005,1.9983432292938232,0.8890729745229086,0,1
PT-MOGA,15,CCCN(CCC)C1CCc2c(cccc2OC)C1,0.9900000095367432,0.7743731737136841,2.66800594329834,0.8146660063001845,1,1
PT-MOGA,15,NCc1ccc(CN2CCN(c3ccccc3Cl)CC2)cc1,0.3100000023841858,0.9406312704086304,1.746530294418335,0.9170521895090739,0,1
PT-MOGA,15,COc1ccccc1N1CCN(CCCCNC(=O)c2ccccc2)CC1,1.0,0.7287012934684753,1.7754192352294922,0.9138423071967231,1,1
PT-MOGA,15,c1cc2c(c(CN3CCN(c4ccc(O)cc4)CC3)c1)COC2,0.25,0.9454888701438904,2.2519912719726562,0.8608898586697049,0,1
PT-MOGA,15,COc1ccccc1N1CCN(CCCc2ccc(O)cc2)CC1,0.7099999785423279,0.8844813704490662,1.800417184829712,0.9110647572411431,1,1
PT-MOGA,15,COc1cccc2c1-c1c(F)ccc3c1C(C2)N(CCN)CC3,0.6600000262260437,0.946893572807312,3.052708625793457,0.771921263800727,1,1
PT-MOGA,15,COc1cccc2c1CCC(NCc1ccc(C#N)cc1)C2,0.8500000238418579,0.9408188462257385,2.548506498336792,0.8279437224070231,1,1
PT-MOGA,15,CCCN(CCC)C1CCc2c(F)cccc2C1,1.0,0.766831636428833,2.751326560974121,0.8054081598917643,1,1
PT-MOGA,15,O=C(NCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccccc1,0.9599999785423279,0.8646263480186462,1.8439666032791138,0.9062259329689873,1,1
PT-MOGA,15,Cc1ccc(CN2CCN(c3ccc(Cl)cc3)CC2)cc1,0.07000000029802322,0.8460759520530701,1.553371787071228,0.9385142458809747,0,1
PT-MOGA,15,O=C(c1ccccc1)Nc1ccccc1,0.0,0.7874913811683655,1.0574495792388916,0.9936167134179009,0,1
PT-MOGA,15,COc1ccc(C(=O)Nc2ccccc2)cc1,0.0,0.8750194311141968,1.1676260232925415,0.9813748863008287,0,1
PT-MOGA,15,COc1cccc2c1-c1cccc3c1C(C2)N(CCN)CC3,0.8299999833106995,0.9457765221595764,2.879395008087158,0.7911783324347602,1,1
PT-MOGA,15,COc1ccc(CNC(=O)c2ccc(C)cc2)cc1,0.0,0.9118351340293884,1.332713007926941,0.9630318880081177,0,1
PT-MOGA,15,N#Cc1ccc(CCN2CCN(c3cccc(O)c3)CC2)cc1,0.7099999785423279,0.9431955814361572,1.9600601196289062,0.893326653374566,1,1
PT-MOGA,15,CCCN1CCCN(c2ccccc2OC)Cc1,0.7699999809265137,0.8143839240074158,1.680871605873108,0.9243475993474325,1,1
PT-MOGA,15,c1ccc(CCN2CCN(c3ccccc3)CC2)cc1,0.7599999904632568,0.8389806151390076,1.4760380983352661,0.9471068779627482,1,1
PT-MOGA,15,COc1cccc2c1CCC(NCc1ccccc1F)C2,0.8700000047683716,0.9283130764961243,2.4533133506774902,0.8385207388136122,1,1
PT-MOGA,15,CCCN1CCN(c2ccccc2)CC1,0.7900000214576721,0.7446258068084717,1.4843201637268066,0.9461866484747993,1,1
PT-MOGA,15,c1ccc(N2CCN(CCc3ccc(O)cc3)CC2)cc1,0.6000000238418579,0.933858335018158,1.6472326517105103,0.9280852609210544,1,1
PT-MOGA,15,COc1ccc(N2CCN(CCc3ccccc3)CC2)cc1,0.3499999940395355,0.8431852459907532,1.5638445615768433,0.9373506042692397,0,1
PT-MOGA,15,c1ccc(N2CCN(Cc3ccccc3)CC2)cc1,0.12999999523162842,0.8282747864723206,1.385939598083496,0.9571178224351671,0,1
PT-MOGA,15,Cc1ccc(C(=O)Nc2ccccc2)cc1,0.0,0.8112788200378418,1.1390786170959473,0.9845468203226725,0,1
PT-MOGA,15,Oc1ccc(N2CCN(Cc3cccc4c3COC4)CC2)cc1,0.25,0.9454888701438904,2.2519912719726562,0.8608898586697049,0,1
PT-MOGA,15,O=C(NCCCCN1CC1)c1ccccc1,0.4000000059604645,0.5796000361442566,1.4313015937805176,0.9520776006910536,0,1
PT-MOGA,15,O=C(NCCCCN1CC1)c1ccccc1,0.4000000059604645,0.5796000361442566,1.4313015937805176,0.9520776006910536,0,1
PT-MOGA,15,CCCN1CCc2cccc3c2C1Cc1cccc(O)c1-3,0.9900000095367432,0.9002107381820679,2.8507184982299805,0.7943646113077799,1,1
PT-MOGA,15,c1ccc(-c2ccccc2)cc1,0.0,0.5905019044876099,1.0,1.0,0,1
PT-MOGA,15,COc1cccc2c1CCC(NCc1ccc(F)cc1)C2,0.8500000238418579,0.9283130764961243,2.394319772720337,0.8450755808088515,1,1
PT-MOGA,15,c1ccc(C(=O)O)cc1,0.0,0.6106035113334656,1.0549172163009644,0.9938980870776706,0,1
PT-MOGA,15,Cc1ccc(N2CCN(Cc3cccc(CO)c3)CC2)cc1,0.09000000357627869,0.9396333694458008,1.7256529331207275,0.9193718963199191,0,1
PT-MOGA,15,Oc1ccc(CCN2CCN(c3ccccc3)CC2)cc1,0.6000000238418579,0.933858335018158,1.6472326517105103,0.9280852609210544,1,1
PT-MOGA,15,CCCN1CCN(c2cccc(O)c2)CC1,0.9300000071525574,0.842816948890686,1.785799264907837,0.9126889705657959,1,1
PT-MOGA,15,SCCCN1CCN(c2cccc(Cl)c2Cl)CC1,0.9700000286102295,0.8514928817749023,2.166135787963867,0.8704293568929037,1,1
PT-MOGA,15,CN(Cc1ccc(C#N)cc1)C1CCc2c(O)cccc2C1,0.550000011920929,0.9443078637123108,2.7406814098358154,0.8065909544626871,1,1
PT-MOGA,15,CCCCN1CCN(c2ccccc2OC)CC1,0.9399999976158142,0.7964081168174744,1.615264892578125,0.9316372341579862,1,1
PT-MOGA,15,NCc1ccc(CN2CCN(c3cccc(Cl)c3Cl)CC2)cc1,0.8799999952316284,0.9110603928565979,1.8976272344589233,0.9002636406156752,1,1
PT-MOGA,15,CCCCN1CCN(c2cccc(Cl)c2Cl)CC1,0.9800000190734863,0.8279516100883484,1.8209701776504517,0.908781091372172,1,1
PT-MOGA,15,OCCOc1cccc2c1CC1c3ccccc3CCN1CC2,0.27000001072883606,0.9461426734924316,2.6846823692321777,0.8128130700853136,0,1
PT-MOGA,15,NCc1ccc(CN2CCN(c3ccccc3)CC2)cc1,0.18000000715255737,0.9342005848884583,1.6261173486709595,0.9304314057032267,0,1
PT-MOGA,15,Cc1cccc(N2CCN(Cc3ccc(CN4CCc5cccc(O)c5-c5cccc6c5C(C4)NCC6)cc3)CC2)c1,0.2800000011920929,0.31768155097961426,3.5925633907318115,0.7119374010297987,0,0
PT-MOGA,15,CCOc1ccc(N2CCN(Cc3cccc4c3COC4)CC2)cc1,0.20999999344348907,0.8337380886077881,2.1983909606933594,0.866845448811849,0,0
PT-MOGA,15,CN(Cc1ccc(C#N)cc1)C1CCc2c(O)cccc2C1CN1CCCNCC1,0.25,0.801909863948822,3.476304531097412,0.7248550521002876,0,0
PT-MOGA,15,CCCN(CCC)C1CCc2c(Oc3ccc4c(c3F)CCC(NC(=O)c3ccccc3F)C4=O)cccc2C1,0.550000011920929,0.3259885311126709,3.601074695587158,0.7109917004903158,0,0
PT-MOGA,15,CCCCN1CCN(c2cccc(C=O)c2OC)CC1,0.6200000047683716,0.7471350431442261,2.122791051864624,0.8752454386817085,1,0
PT-MOGA,15,CCCN1CCN(c2ccc(Nc3cccc(C)c3O)cc2)CC1,0.3199999928474426,0.8158437609672546,1.9676716327667236,0.8924809296925863,0,0
PT-MOGA,15,COc1ccc(N=C(c2ccc(C)cc2)N(C)C2CCc3c(cccc3O)C2)c(OC)c1,0.4099999964237213,0.44167235493659973,3.127321720123291,0.763630919986301,0,0
PT-MOGA,15,CCCN(C1CCc2c(ccc(OC)c2O)C1)C1CCc2c(ccc(O)c2O)C1,0.5899999737739563,0.6667437553405762,3.5894663333892822,0.7122815185123019,1,0
PT-MOGA,15,COc1ccccc1N1CCNCC1,0.6299999952316284,0.7592290043830872,1.7307323217391968,0.9188075198067559,1,0
PT-MOGA,15,Br,0.0,0.3996557891368866,6.963984489440918,0.3373350567287869,0,0
