model,generation,smiles,drd2,qed,sa_raw,sa_norm,feasible,nondominated
PT-MOGA,50,Oc1ccc(N2CCN(c3ccccc3)CC2)cc1,0.0,0.8923397064208984,1.5661355257034302,0.9370960526996188,0,1
PT-MOGA,50,O=C(O)c1ccccc1,0.0,0.6106035113334656,1.0549172163009644,0.9938980870776706,0,1
PT-MOGA,50,COc1cccc2c1-c1cccc3c1CC2CN(CCN)CC3,0.2800000011920929,0.9473978877067566,3.5225331783294678,0.7197185357411703,0,1
PT-MOGA,50,CCCN(CCC)C1CCc2c(cccc2O)C1,1.0,0.8620217442512512,2.7878940105438232,0.8013451099395752,1,1
PT-MOGA,50,O=C(O)c1ccccc1,0.0,0.6106035113334656,1.0549172163009644,0.9938980870776706,0,1
PT-MOGA,50,C1CCN(CCc2ccccc2)C1,0.05999999865889549,0.6811919808387756,1.3635995388031006,0.9596000512441,0,1
PT-MOGA,50,O=C(Nc1ccccc1)c1ccccc1,0.0,0.7874913811683655,1.0574495792388916,0.9936167134179009,0,1
PT-MOGA,50,CCCN(CCC#N)C1CCc2c(O)cccc2C1,0.9900000095367432,0.8830645084381104,2.9919674396514893,0.7786702844831679,1,1
PT-MOGA,50,C1CCN(CCc2ccccc2)CC1,0.05000000074505806,0.7063854336738586,1.393965244293213,0.9562260839674208,0,1
PT-MOGA,50,O=C(NCC=CCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccccc1,0.9900000095367432,0.7368004322052002,2.215508222579956,0.8649435308244493,1,1
PT-MOGA,50,CCCN1CCN(c2ccccc2)CC1,0.7900000214576721,0.7446258068084717,1.4843201637268066,0.9461866484747993,1,1
PT-MOGA,50,O=C(NCC=CCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccccc1,0.9900000095367432,0.7368004322052002,2.215508222579956,0.8649435308244493,1,1
PT-MOGA,50,c1ccc(CN2CCN(Cc3ccccc3)CC2)cc1,0.0,0.8391317129135132,1.316846251487732,0.9647948609458076,0,1
PT-MOGA,50,Clc1cccc(N2CCN(Cc3ccccc3)CC2)c1Cl,0.9200000166893005,0.8307874798774719,1.685756802558899,0.9238047997156779,1,1
PT-MOGA,50,NCCCN1CCN(c2cccc(Cl)c2Cl)CC1,0.9100000262260437,0.9234777092933655,1.9535675048828125,0.8940480550130209,1,1
PT-MOGA,50,CCCNC1CCc2c(cccc2OC)C1,1.0,0.8399972915649414,2.500850200653076,0.8332388665941026,1,1
PT-MOGA,50,COc1cccc(N2CCN(CCC)CC2)c1,0.9100000262260437,0.7942761778831482,1.6415148973464966,0.9287205669615004,1,1
PT-MOGA,50,COc1cccc2c1-c1cccc3c1C(C2)N(CCN)CC3,0.8299999833106995,0.9457765221595764,2.879395008087158,0.7911783324347602,1,1
PT-MOGA,50,Oc1cccc(CN2CCN(c3ccccc3)CC2)c1,0.3100000023841858,0.9269210696220398,1.629738688468933,0.930029034614563,0,1
PT-MOGA,50,Oc1cccc(CN2CCN(c3ccc(Cl)cc3)CC2)c1,0.2199999988079071,0.9415249228477478,1.7117717266082764,0.9209142525990804,0,1
PT-MOGA,50,CCCN(CCc1ccccc1)C1CCc2c(cccc2O)C1,0.9800000190734863,0.8640376329421997,2.634603500366211,0.8183773888481988,1,1
PT-MOGA,50,OCCN1CCN(c2cccc(Cl)c2Cl)CC1,0.9399999976158142,0.9148616790771484,1.904948353767395,0.8994501829147339,1,1
PT-MOGA,50,CCCN(CCC#N)C1CCc2c(O)cccc2C1,0.9900000095367432,0.8830645084381104,2.9919674396514893,0.7786702844831679,1,1
PT-MOGA,50,CCCN(C1CCc2c(O)cccc2C1)CCC,1.0,0.8620217442512512,2.7878940105438232,0.8013451099395752,1,1
PT-MOGA,50,Oc1ccccc1N1CCN(Cc2ccccc2)CC1,0.17000000178813934,0.9269210696220398,1.5992302894592285,0.9334188567267524,0,1
PT-MOGA,50,COc1cccc2c1-c1cccc3c1C(C2)N(CC(N)=O)CC3,0.6100000143051147,0.9463959336280823,2.8427085876464844,0.7952546013726128,1,1
PT-MOGA,50,Fc1ccc(N2CCN(CCc3ccccc3)CC2)cc1,0.5099999904632568,0.8505276441574097,1.5679254531860352,0.9368971718682183,1,1
PT-MOGA,50,Oc1ccc(CN2CCN(c3ccc(Cl)cc3)CC2)cc1,0.10999999940395355,0.9415249228477478,1.6502879858016968,0.9277457793553671,0,1
PT-MOGA,50,COc1cccc2c1CCC(N(C)Cc1ccc(O)cc1)C2,0.6800000071525574,0.9386920928955078,2.5820724964141846,0.8242141670650907,1,1
PT-MOGA,50,Oc1ccc(N2CCN(CCc3ccccc3)CC2)cc1,0.5,0.933858335018158,1.6417567729949951,0.928693691889445,1,1
PT-MOGA,50,CCCN1CCN(c2ccccc2)CC1,0.7900000214576721,0.7446258068084717,1.4843201637268066,0.9461866484747993,1,1
PT-MOGA,50,Cc1ccc(N2CCN(CCc3ccc(O)cc3)CC2)cc1,0.36000001430511475,0.9391083121299744,1.7121421098709106,0.9208730989032321,0,1
PT-MOGA,50,COc1cccc2c1-c1cccc3c1C(C2)N(CCCN)CC3,0.7699999809265137,0.942661464214325,2.8644766807556152,0.7928359243604872,1,1
PT-MOGA,50,c1ccc(N2CCN(CCc3ccccc3)CC2)cc1,0.7599999904632568,0.8389806151390076,1.4760380983352661,0.9471068779627482,1,1
PT-MOGA,50,Cc1ccc(N2CCN(CCc3ccccc3)CC2)cc1,0.3799999952316284,0.8471063375473022,1.5464036464691162,0.9392884837256538,0,1
PT-MOGA,50,Cc1ccc(N2CCN(CCc3cccc(O)c3)CC2)cc1,0.4300000071525574,0.9391083121299744,1.7738051414489746,0.9140216509501139,0,1
PT-MOGA,50,Oc1ccc(CCN2CCN(c3ccc(Cl)cc3)CC2)cc1,0.5400000214576721,0.936120867729187,1.727405309677124,0.9191771878136529,1,1
PT-MOGA,50,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccccc1,1.0,0.6958633661270142,1.9086596965789795,0.8990378114912245,1,1
PT-MOGA,50,Oc1cccc(N2CCN(Cc3ccccc3)CC2)c1Cl,0.46000000834465027,0.9415249228477478,1.8143922090530396,0.9095119767718844,0,1
PT-MOGA,50,CCCN1CCN(c2ccccc2OC)CC1,0.8500000238418579,0.7942761778831482,1.6109092235565186,0.932121197382609,1,1
PT-MOGA,50,OC(=O)CCN1CCN(c2cccc(Cl)c2Cl)CC1,0.8899999856948853,0.9283169507980347,1.9066694974899292,0.8992589447233412,1,1
PT-MOGA,50,CCCN1CCN(c2ccccc2OC)CC1,0.8500000238418579,0.7942761778831482,1.6109092235565186,0.932121197382609,1,1
PT-MOGA,50,Cc1ccc(CCN2CCN(c3ccccc3)CC2)cc1,0.41999998688697815,0.8471063375473022,1.551879644393921,0.9386800395117866,0,1
PT-MOGA,50,Nc1ccccc1N1CCN(Cc2ccccc2)CC1,0.20000000298023224,0.867638885974884,1.6263922452926636,0.9304008616341485,0,1
PT-MOGA,50,Cc1ccc(N2CCN(Cc3ccccc3)CC2)cc1,0.05000000074505806,0.84064781665802,1.4602148532867432,0.948865016301473,0,1
PT-MOGA,50,COc1ccccc1N1CCN(CCNC(=O)c2ccccc2)CC1,0.8999999761581421,0.8767122626304626,1.699845314025879,0.9222394095526801,1,1
PT-MOGA,50,Clc1ccccc1N1CCN(Cc2ccccc2)CC1,0.20000000298023224,0.8495078682899475,1.51970636844635,0.9422548479504056,0,1
PT-MOGA,50,Fc1cc(N2CCN(CCc3ccccc3)CC2)ccc1,0.6499999761581421,0.8505276441574097,1.6324530839920044,0.9297274351119995,1,1
PT-MOGA,50,c1cc(CCN2CCN(c3ccc(F)cc3)CC2)cc(O)c1,0.5799999833106995,0.9403245449066162,1.794654369354248,0.9117050700717502,1,1
PT-MOGA,50,Cc1ccc(N2CCN(Cc3cccc(O)c3)CC2)cc1,0.14000000059604645,0.9371607899665833,1.6957578659057617,0.9226935704549154,0,1
PT-MOGA,50,CCCN1CCc2c(F)cccc2C1,0.15000000596046448,0.6974920630455017,2.055018663406372,0.8827757040659586,0,0
PT-MOGA,50,Cl,0.0,0.36516430974006653,6.251046180725098,0.416550424363878,0,0
PT-MOGA,50,CCCN(CCCC)C1CCc2c(cccc2OC)C1,0.9700000286102295,0.7436698079109192,2.6705281734466553,0.8143857585059272,1,0
PT-MOGA,50,CCCNC1CCc2c(F)cccc2C1,0.949999988079071,0.8031972646713257,2.5999972820281982,0.822222524219089,1,0
PT-MOGA,50,CCCCN1CCN(c2cccc(O)c2Br)CC1,0.5600000023841858,0.9252721071243286,2.092688798904419,0.8785901334550645,1,0
PT-MOGA,50,CN(Cc1ccc(OCC=CCNC(=O)c2ccccc2)cc1)C1CCc2c(cccc2OC)C1,0.30000001192092896,0.4215094745159149,2.9295215606689453,0.7856087154812283,0,0
PT-MOGA,50,Oc1cccc2c1-c1cccc3c1C(C2)N(CCN)CC3,0.7300000190734863,0.8882414102554321,2.962332010269165,0.7819631099700928,1,0
PT-MOGA,50,N#CCCN(CCCNC1CCc2c(cccc2OCCCCl)C1)C1CCc2c(cccc2O)C1,0.7200000286102295,0.31976690888404846,3.664774179458618,0.7039139800601535,0,0
PT-MOGA,50,Br,0.0,0.3996557891368866,6.963984489440918,0.3373350567287869,0,0
PT-MOGA,50,CCCN(CCCCN1CCN(C2CCc3c(Cl)cccc3C2)CC1)C1CCc2c(C)cccc2C1,0.6800000071525574,0.37544363737106323,3.4885189533233643,0.7234978940751817,0,0
PT-MOGA,50,NCCN1CCN(c2cccc(Cl)c2Cl)CC1,0.8700000047683716,0.9155247807502747,1.9715627431869507,0.8920485840903388,1,0
