model,generation,smiles,drd2,qed,sa_raw,sa_norm,feasible,nondominated
PT-MOGA,40,NCCc1ccccc1,0.0,0.6245074272155762,1.2922765016555786,0.9675248331493802,0,1
PT-MOGA,40,O=C(O)c1ccccc1,0.0,0.6106035113334656,1.0549172163009644,0.9938980870776706,0,1
PT-MOGA,40,COc1cccc2c1-c1cccc3c1CC(C2)N(CCN)CC3,0.28999999165534973,0.9471821784973145,3.6871824264526367,0.7014241748385959,0,1
PT-MOGA,40,O=C(O)c1ccccc1,0.0,0.6106035113334656,1.0549172163009644,0.9938980870776706,0,1
PT-MOGA,40,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccccc1,1.0,0.6958633661270142,1.9086596965789795,0.8990378114912245,1,1
PT-MOGA,40,CCCN(CCC#N)C1CCc2c(cccc2O)C1,0.9900000095367432,0.8830645084381104,2.9919674396514893,0.7786702844831679,1,1
PT-MOGA,40,C1CCN(CCc2ccccc2)C1,0.05999999865889549,0.6811919808387756,1.3635995388031006,0.9596000512441,0,1
PT-MOGA,40,O=C(NCC=CCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccccc1O,1.0,0.698434591293335,2.3599605560302734,0.8488932715521919,1,1
PT-MOGA,40,C(=CCNC(=O)c1ccccc1)CN1CCN(c2cccc(Cl)c2Cl)CC1,0.9900000095367432,0.7368004322052002,2.215508222579956,0.8649435308244493,1,1
PT-MOGA,40,CCCN1CCN(c2ccccc2)CC1,0.7900000214576721,0.7446258068084717,1.4843201637268066,0.9461866484747993,1,1
PT-MOGA,40,CCCN1CCN(c2ccccc2OC)CC1,0.8500000238418579,0.7942761778831482,1.6109092235565186,0.932121197382609,1,1
PT-MOGA,40,c1ccc(CCN2CCN(c3ccc4c(c3)CNC4)CC2)cc1,0.6399999856948853,0.9366939663887024,2.0800628662109375,0.8799930148654513,1,1
PT-MOGA,40,COc1ccccc1N1CCN(CCCC)CC1,0.9399999976158142,0.7964081168174744,1.615264892578125,0.9316372341579862,1,1
PT-MOGA,40,CCCCN1CCN(c2cccc(Cl)c2Cl)CC1,0.9800000190734863,0.8279516100883484,1.8209701776504517,0.908781091372172,1,1
PT-MOGA,40,Fc1ccc(N2CCN(CCc3ccc(O)cc3)CC2)cc1,0.36000001430511475,0.9403245449066162,1.732991337776184,0.9185565180248685,0,1
PT-MOGA,40,O=C(NCC=CCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccccc1,0.9900000095367432,0.7368004322052002,2.215508222579956,0.8649435308244493,1,1
